MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,__target__
3.125,39.0,,1.0614035087719298,389.0,1.706140350877193,,-122.25,
2.5795,52.0,3.5154975530179446,1.1435562805872757,895.0,1.4600326264274062,37.81,-122.25,
2.8406,,3.281721632196758,,,1.5030743432084963,,-122.26,3.357
,52.0,6.184426229508197,0.9221311475409836,674.0,2.762295081967213,,,
3.2727,52.0,4.442982456140351,1.0570175438596492,709.0,1.5548245614035088,37.81,-122.24,
,52.0,4.165876777251185,1.0900473933649288,,1.6255924170616114,,,
,52.0,4.848189415041783,1.0459610027855153,1444.0,2.011142061281337,37.82,,2.757
3.9063,28.0,4.160847880299252,,1520.0,1.8952618453865338,,-122.25,2.25
5.0917,52.0,5.628458498023716,,550.0,2.1739130434782608,37.82,,2.625
,,3.7270058708414875,,,1.7671232876712328,37.82,-122.25,2.185
3.0233,26.0,3.2530813475760065,0.9827444535743632,1749.0,1.4371405094494658,37.82,,2.55
3.1484,,4.578034682080925,1.0770712909441233,939.0,1.8092485549132948,37.83,-122.25,2.241
3.4722,35.0,3.822274881516588,1.014218009478673,675.0,1.599526066350711,37.83,-122.25,2.431
3.1429,52.0,4.3951890034364265,0.9862542955326461,,,37.83,-122.25,2.316
,,,1.053582179409994,2558.0,,37.83,,
,,4.040501446480231,1.0655737704918034,,1.7222757955641272,37.83,-122.25,2.341
,50.0,6.742627345844504,1.0697050938337802,970.0,2.6005361930294906,,-122.23,3.276
5.2868,47.0,6.546391752577319,0.9360824742268041,1098.0,2.263917525773196,37.84,-122.23,3.476
,41.0,6.851063829787234,1.0797872340425532,794.0,2.1117021276595747,37.83,-122.24,3.661
4.9643,37.0,7.1063829787234045,1.148936170212766,98.0,2.0851063829787235,37.85,,3.35
6.3434,,,1.0198511166253101,1061.0,2.632754342431762,,-122.23,
5.1773,52.0,,,1177.0,2.120720720720721,37.84,-122.24,
,52.0,,0.9945504087193461,901.0,,37.85,,3.911
5.457,28.0,5.5303347280334725,1.096234309623431,2031.0,2.1244769874476988,37.85,,3.373
7.5,50.0,6.127348643006263,0.9874739039665971,,2.152400835073069,37.84,-122.22,2.952
6.0194,44.0,5.735343383584589,1.0,1358.0,2.274706867671692,37.84,,2.923
,,7.631498470948012,,,,37.83,-122.21,
6.0666,30.0,,,844.0,2.4606413994169096,37.84,-122.2,
7.0548,34.0,,0.9879032258064516,1140.0,2.2983870967741935,37.84,-122.21,
,18.0,,,,,37.84,-122.19,3.926
,35.0,6.467268623024831,1.0383747178329572,1072.0,2.419864559819413,37.84,,
6.8976,,6.6122715404699735,1.0287206266318538,1627.0,2.1240208877284594,37.83,,
8.2049,28.0,6.978947368421053,0.968421052631579,463.0,2.4368421052631577,37.83,-122.19,3.352
8.401,26.0,7.530805687203792,1.0568720379146919,,,,-122.2,3.512
,29.0,6.657992565055762,1.0074349442379182,661.0,,,-122.19,
8.317,,,,635.0,,,-122.19,3.659
7.0175,,6.982954545454546,1.0284090909090908,420.0,,37.82,-122.2,
,,7.54,,1265.0,2.53,37.82,-122.2,3.628
,30.0,5.615384615384615,0.7307692307692307,126.0,2.423076923076923,,-122.18,4.833
7.0549,52.0,6.785714285714286,0.9514285714285714,813.0,,37.82,,
6.7851,45.0,6.957746478873239,1.0234741784037558,1067.0,2.504694835680751,37.81,-122.2,3.235
2.8929,50.0,5.132246376811594,1.0960144927536233,1260.0,2.282608695652174,37.8,-122.21,2.167
,,4.628336755646817,1.0985626283367556,,1.9527720739219712,37.8,,2.331
5.2402,52.0,6.200892857142857,,510.0,2.2767857142857144,37.81,-122.21,
,52.0,6.39935064935065,,765.0,2.4837662337662336,37.81,-122.22,
3.2632,52.0,4.745652173913044,1.0108695652173914,1129.0,,,-122.22,2.277
3.0298,52.0,5.183673469387755,1.0521541950113378,,2.433106575963719,37.8,-122.22,
4.5428,52.0,5.283495145631068,1.050485436893204,1185.0,2.3009708737864076,37.8,-122.22,
4.072,52.0,5.952941176470588,0.9970588235294118,756.0,,37.81,-122.22,2.701
,52.0,5.65067178502879,1.0287907869481765,,1.9846449136276392,37.81,,
,52.0,,1.0588235294117647,787.0,1.7145969498910676,37.8,,2.695
4.7708,52.0,6.727699530516432,1.0751173708920188,,2.8732394366197185,37.81,-122.23,
8.1564,52.0,7.7026315789473685,,1021.0,2.6868421052631577,,,3.901
,52.0,8.972868217054264,1.1317829457364341,861.0,3.3372093023255816,,-122.23,4.103
,52.0,7.599388379204893,,953.0,2.914373088685015,37.81,-122.24,3.524
6.0302,,5.8203125,0.9296875,634.0,2.4765625,37.81,-122.24,2.873
7.508,52.0,7.994318181818182,1.0369318181818181,,,37.81,-122.23,3.487
2.7477,,,,918.0,,37.81,-122.24,2.438
,,,,,2.057142857142857,37.8,-122.24,2.115
,52.0,4.276639344262295,1.0450819672131149,1197.0,2.4528688524590163,,,2.184
3.675,52.0,4.851351351351352,0.9691119691119691,,2.023166023166023,37.81,-122.24,2.699
,46.0,,1.1178045515394912,,,37.81,-122.25,2.188
2.9345,42.0,4.059113300492611,1.0492610837438423,1715.0,,37.8,,2.25
,43.0,3.2742382271468142,1.0969529085872576,1359.0,,37.8,-122.25,2.5
1.6121,41.0,3.5617433414043584,1.1355932203389831,1062.0,2.5714285714285716,37.8,-122.25,1.714
1.3929,29.0,3.1927554980595083,1.1177231565329884,1335.0,,37.8,,
2.3173,27.0,3.804195804195804,,,2.7296037296037294,,,1.25
1.7772,45.0,3.882608695652174,1.1434782608695653,,3.2065217391304346,37.79,,
2.6458,,3.2091836734693877,0.9591836734693877,,3.7857142857142856,37.79,-122.25,1.25
2.181,52.0,,1.0771349862258952,,2.9917355371900825,37.79,,1.388
2.2303,,,1.1160220994475138,,3.029465930018416,,-122.25,1.167
1.6504,43.0,3.639751552795031,1.0046583850931676,1710.0,2.6552795031055902,37.8,-122.25,1.518
,,4.368421052631579,1.0,731.0,3.206140350877193,37.8,-122.24,
,52.0,4.585014409221902,1.07492795389049,1118.0,3.2219020172910664,37.8,-122.24,
2.1348,52.0,4.7343283582089555,1.1880597014925374,1006.0,,,,1.406
2.6292,47.0,3.693140794223827,,,2.1895306859205776,,-122.24,
2.3833,52.0,,1.1245136186770428,772.0,,37.8,-122.23,
2.957,52.0,4.496259351620948,1.0473815461346634,,,37.8,-122.24,
,49.0,4.192023633677991,,1487.0,2.1964549483013296,37.8,,
1.9375,52.0,4.209677419354839,0.989247311827957,488.0,2.6236559139784945,37.8,-122.23,1.266
,51.0,4.0561224489795915,,949.0,,,-122.23,1.279
2.25,50.0,4.20722891566265,,,,,-122.23,1.235
,52.0,4.4714285714285715,,,3.0142857142857142,37.8,,1.119
2.1917,43.0,,,4367.0,,37.79,-122.23,
2.9357,52.0,4.327669902912621,0.9587378640776699,1659.0,4.026699029126213,37.79,-122.23,1.079
1.8854,,,1.0038022813688212,1011.0,3.844106463878327,37.79,-122.23,1.375
,39.0,3.776349614395887,1.1079691516709511,,3.763496143958869,37.79,-122.24,1.055
2.125,47.0,4.528052805280528,1.3036303630363035,1237.0,,37.79,-122.24,
3.375,52.0,4.011904761904762,1.0714285714285714,647.0,3.8511904761904763,37.79,-122.24,1.161
2.2542,,,1.0532212885154062,1284.0,3.596638655462185,,-122.24,1.122
,51.0,3.1818181818181817,,228.0,4.1454545454545455,37.79,-122.25,0.75
,39.0,3.747967479674797,,,,37.79,-122.25,1.125
3.625,52.0,3.973568281938326,1.0440528634361232,846.0,,37.79,-122.25,1.25
1.6929,,3.510355029585799,1.1523668639053255,1659.0,2.4541420118343193,,,
,,2.8333333333333335,,,3.7681159420289854,37.77,-122.22,0.95
2.59,52.0,4.38996138996139,1.162162162162162,866.0,3.3436293436293436,37.77,,0.964
2.57,,,1.1256830601092895,612.0,3.3442622950819674,37.77,,0.72
2.6429,,3.746031746031746,1.1587301587301588,415.0,3.2936507936507935,37.78,-122.23,0.713
3.0257,52.0,,1.0093896713615023,994.0,4.666666666666667,,-122.23,0.808
,,4.0251572327044025,1.1111111111111112,,3.19706498951782,37.78,-122.22,1.288
1.9338,43.0,3.2420091324200913,1.0776255707762556,1506.0,3.4383561643835616,37.78,,1.125
1.4844,52.0,3.8666666666666667,1.011764705882353,1008.0,3.9529411764705884,,,
,44.0,3.1158455392809588,1.0985352862849533,,3.745672436750999,,-122.23,
2.0375,48.0,4.944606413994169,1.154518950437318,1481.0,,37.79,-122.23,1.225
2.293,49.0,,0.9908675799086758,,,37.79,-122.23,1.063
2.1494,37.0,4.479923518164436,1.0975143403441683,,3.074569789674952,37.79,,1.325
1.6198,30.0,4.357142857142857,1.0357142857142858,425.0,3.0357142857142856,37.79,-122.23,1.227
1.3281,40.0,5.054347826086956,1.0815217391304348,564.0,,,-122.23,1.133
,44.0,5.466911764705882,,961.0,,37.79,-122.22,
,52.0,,1.0072992700729928,,3.318248175182482,37.79,-122.22,
3.0893,52.0,,,600.0,3.076923076923077,,,1.25
2.6042,46.0,4.489563567362429,1.0910815939278937,,3.1252371916508537,37.79,,
2.5,49.0,,1.0613207547169812,1201.0,2.832547169811321,37.79,-122.22,1.367
,38.0,4.626707132018209,,,,37.79,-122.22,
2.8321,29.0,,1.1058823529411765,,2.761764705882353,37.79,,1.5
2.9583,47.0,5.284246575342466,1.0513698630136987,,2.941780821917808,37.79,-122.21,1.388
2.8365,,4.5813953488372094,,1517.0,2.939922480620155,37.79,-122.21,1.392
2.875,35.0,4.520725388601036,,,2.961139896373057,37.79,-122.21,
3.0682,39.0,4.316810344827586,,1109.0,2.3900862068965516,,-122.21,1.565
,,4.524663677130045,1.0022421524663676,,2.7376681614349776,37.8,,1.51
4.9559,43.0,6.6923076923076925,1.0967032967032968,1115.0,2.4505494505494507,,-122.2,2.73
,,5.772388059701493,,706.0,,37.8,-122.2,2.171
,,4.984419263456091,1.0070821529745042,1883.0,,,,1.871
5.1184,41.0,6.088235294117647,1.0411764705882354,804.0,,37.8,-122.2,2.396
,48.0,5.242063492063492,,506.0,2.007936507936508,37.8,-122.21,2.297
4.744,48.0,,1.088235294117647,610.0,,37.8,-122.19,
4.2727,46.0,5.837349397590361,1.0271084337349397,768.0,2.3132530120481927,,,2.469
2.9844,50.0,,1.059782608695652,462.0,2.510869565217391,37.79,-122.19,1.799
4.1739,40.0,4.51063829787234,1.0893617021276596,667.0,2.8382978723404255,37.79,,1.696
,46.0,,1.0150375939849625,,2.654135338345865,,-122.2,2.033
4.0114,52.0,6.5451263537906135,0.9783393501805054,637.0,,37.8,-122.19,
4.6563,,,0.9933920704845814,,2.436123348017621,37.79,-122.19,2.318
2.9297,28.0,4.699551569506727,,1737.0,2.596412556053812,,-122.19,
2.3036,,,,,,,-122.2,
2.6667,49.0,4.2,0.9285714285714286,,,,-122.2,1.22
2.619,44.0,3.30142566191446,0.9205702647657841,1354.0,2.7576374745417516,37.79,-122.2,1.347
2.4167,45.0,4.462025316455696,1.1244725738396624,,3.2278481012658227,37.79,,1.394
,45.0,4.210416666666666,1.1,1410.0,,,-122.2,
2.7352,,3.9349736379613356,0.8927943760984183,1390.0,,37.78,-122.21,1.373
1.8472,52.0,,1.1152416356877324,,3.95910780669145,37.78,-122.21,1.37
,52.0,4.310204081632653,0.9142857142857143,792.0,,37.78,,1.426
3.0536,,3.6653061224489796,,779.0,3.179591836734694,,-122.21,1.375
,44.0,,1.1639344262295082,,3.719672131147541,37.78,,
1.7188,43.0,4.181818181818182,,,3.0147420147420148,37.78,-122.21,1.268
2.625,,,1.0290456431535269,753.0,3.12448132780083,37.78,-122.21,1.113
,40.0,,0.8444444444444444,,,37.77,-122.22,1.148
,50.0,4.036363636363636,1.075,,4.1068181818181815,37.78,-122.22,
,44.0,,1.0383838383838384,,,37.78,-122.22,1.319
2.489,51.0,4.1653944020356235,1.178117048346056,1543.0,3.926208651399491,37.78,-122.22,
1.7546,52.0,4.733333333333333,1.0466666666666666,,3.6166666666666667,,-122.21,0.806
4.0904,52.0,4.313868613138686,1.2627737226277371,353.0,2.576642335766423,37.77,,0.806
,52.0,5.0,1.0268456375838926,,3.174496644295302,37.77,,
2.4338,49.0,,,1621.0,3.3561076604554865,37.77,-122.2,
,46.0,,,1183.0,3.34180790960452,37.77,-122.21,0.987
2.2604,43.0,3.6714801444043323,1.184115523465704,836.0,3.0180505415162453,37.77,,1.0
,42.0,3.543726235741445,,900.0,3.4220532319391634,37.77,,
2.2562,,,1.111731843575419,,,37.77,-122.2,0.948
2.0562,41.0,,1.217008797653959,1024.0,3.002932551319648,37.77,-122.2,
,,5.4373522458628845,1.0472813238770686,1225.0,,37.78,-122.2,
,,4.659574468085107,,1071.0,2.848404255319149,37.78,-122.2,1.216
2.5401,,4.939153439153439,,1128.0,2.984126984126984,37.78,-122.2,
2.898,43.0,5.020661157024794,1.037190082644628,1537.0,3.175619834710744,,-122.2,
2.3125,44.0,,1.0534351145038168,1240.0,,,,
2.875,52.0,,1.0714285714285714,,2.7916666666666665,37.78,-122.19,
3.3715,52.0,,,,2.5552941176470587,37.77,-122.19,1.439
3.5114,52.0,,1.0671462829736211,1144.0,2.7434052757793763,37.77,-122.19,1.512
4.3125,52.0,6.645333333333333,,,2.957333333333333,,-122.19,
,52.0,,1.075880758807588,984.0,,37.78,-122.19,1.565
3.875,33.0,3.021276595744681,0.6595744680851063,575.0,12.23404255319149,37.78,-122.18,2.25
5.2328,49.0,,,496.0,2.373205741626794,37.78,,1.742
3.7262,52.0,5.631578947368421,1.0157894736842106,555.0,2.9210526315789473,37.78,-122.19,1.669
,45.0,5.400611620795107,1.0152905198776758,869.0,,37.78,,1.635
5.2578,39.0,5.820754716981132,0.8962264150943396,236.0,2.2264150943396226,37.79,-122.18,2.53
,,,1.088785046728972,626.0,2.925233644859813,,,2.407
3.9712,46.0,6.410334346504559,1.1762917933130699,,2.802431610942249,37.79,-122.18,
2.9514,47.0,4.80078125,0.94921875,,2.2734375,37.79,,1.981
2.6667,50.0,4.746268656716418,,546.0,2.716417910447761,37.79,-122.19,1.728
5.4446,,,,620.0,,,-122.18,
,34.0,6.948717948717949,1.0,442.0,,37.8,-122.18,3.182
6.7527,23.0,7.064024390243903,1.024390243902439,,2.9115853658536586,37.8,-122.18,2.858
,24.0,7.589506172839506,0.9783950617283951,916.0,,37.77,-122.13,2.93
,,,1.0411794611082867,,2.5343162175902387,37.79,,3.71
,42.0,5.707865168539326,,651.0,2.438202247191011,37.78,-122.17,1.573
2.875,,,1.0611664295874823,1704.0,,37.77,-122.17,1.353
3.4205,43.0,4.877149877149877,1.0810810810810811,,2.6658476658476657,,-122.18,
,,5.78169014084507,1.1338028169014085,,2.51056338028169,37.78,-122.18,1.607
3.875,,4.933701657458563,0.9779005524861878,,2.585635359116022,37.78,-122.17,1.406
4.175,52.0,5.396694214876033,,,2.446280991735537,,-122.17,1.44
4.375,47.0,5.761467889908257,0.9954128440366973,570.0,2.614678899082569,,-122.16,1.619
4.7708,48.0,5.427777777777778,,446.0,2.477777777777778,37.77,-122.16,1.563
3.5739,,,1.0338541666666667,968.0,2.5208333333333335,37.77,-122.16,1.76
,39.0,,1.1044303797468353,857.0,2.712025316455696,37.77,-122.16,1.458
3.3958,39.0,5.0062111801242235,1.062111801242236,912.0,2.8322981366459627,37.77,-122.17,1.419
1.871,31.0,5.3628318584070795,,,3.0088495575221237,37.77,-122.17,
1.9356,41.0,4.490140845070423,,1074.0,3.0253521126760563,37.76,-122.17,0.906
2.1842,47.0,5.544502617801047,1.081151832460733,965.0,2.526178010471204,37.76,-122.17,1.079
,37.0,4.921875,1.11875,,2.915625,,-122.18,1.07
2.4333,38.0,4.983050847457627,1.1214689265536724,,2.788135593220339,,-122.17,0.982
1.9479,50.0,4.82520325203252,1.0609756097560976,907.0,3.686991869918699,37.76,,
3.9063,52.0,,,,2.709090909090909,,-122.18,0.938
,49.0,5.117516629711751,1.0022172949002217,1299.0,2.8802660753880267,,-122.18,0.967
,27.0,5.789808917197452,,396.0,2.522292993630573,37.77,-122.18,0.975
,42.0,4.402985074626866,0.9589552238805971,,3.2723880597014925,,-122.18,0.973
1.8913,,,1.111716621253406,,,37.76,-122.18,
1.7056,49.0,5.08550185873606,1.0483271375464684,790.0,2.936802973977695,37.76,-122.19,
2.2768,,4.953068592057762,0.9873646209386282,1479.0,2.6696750902527078,37.77,,0.962
3.2552,,4.810502283105023,1.0753424657534247,1173.0,2.6780821917808217,,,
,52.0,4.775956284153006,,1029.0,2.8114754098360657,37.77,-122.18,1.0
2.4659,,5.782857142857143,1.1171428571428572,1030.0,2.942857142857143,37.76,-122.19,0.947
1.75,47.0,4.0,,826.0,,,-122.2,0.857
,,,1.1233480176211454,1412.0,,,-122.19,
2.7159,45.0,5.306590257879656,1.1260744985673352,1132.0,,37.77,-122.19,1.014
1.2083,,5.7924528301886795,1.3018867924528301,,3.2830188679245285,37.76,-122.19,0.725
1.925,45.0,4.198312236286919,1.0042194092827004,,2.6582278481012658,37.76,-122.19,
,36.0,,,531.0,3.992481203007519,37.75,-122.2,0.7
1.4097,37.0,4.017991004497751,1.103448275862069,1925.0,2.886056971514243,37.76,-122.2,0.846
0.7683,,4.253561253561253,,1144.0,3.259259259259259,37.76,,0.818
1.3194,,,,,,37.75,-122.19,
,,5.283950617283951,1.1666666666666667,435.0,,,-122.19,
,,4.267326732673268,0.9801980198019802,984.0,3.2475247524752477,,-122.19,
1.1765,36.0,5.327044025157233,1.3333333333333333,,3.5660377358490565,37.74,-122.19,0.871
,42.0,4.3983739837398375,1.2520325203252032,,3.089430894308943,37.74,-122.18,
,44.0,,1.0368852459016393,825.0,,,-122.19,
2.5139,43.0,4.561290322580645,0.9483870967741935,417.0,2.6903225806451614,,-122.19,0.834
1.2625,45.0,5.32404181184669,,,,37.73,,0.847
,42.0,4.590909090909091,1.0858585858585859,646.0,3.2626262626262625,37.73,,0.8
,43.0,4.8807017543859645,1.0280701754385966,,,,-122.18,0.764
2.1111,,4.029411764705882,0.875,435.0,3.198529411764706,37.73,-122.18,
2.455,42.0,,1.1205128205128205,2736.0,3.5076923076923077,37.73,-122.18,0.824
2.4028,41.0,,,1481.0,,,,0.977
,47.0,3.3795620437956204,0.9781021897810219,327.0,2.386861313868613,37.74,-122.17,0.972
,43.0,,1.0782122905027933,494.0,,37.74,,1.016
2.1587,,,1.0879765395894427,1231.0,3.6099706744868034,37.73,-122.17,
1.8438,35.0,,1.1559633027522935,,2.963302752293578,37.74,-122.18,0.905
3.0298,,4.56,1.0044444444444445,749.0,3.328888888888889,37.74,,
,46.0,4.320224719101123,1.0280898876404494,,,37.74,-122.17,0.842
2.2467,46.0,5.940677966101695,1.1045197740112995,1339.0,3.7824858757062145,37.74,,0.889
,45.0,4.125,0.95,282.0,3.525,,,0.807
1.325,46.0,,1.117948717948718,621.0,3.1846153846153844,37.75,,0.871
1.6196,,3.83011583011583,1.0772200772200773,732.0,2.8262548262548264,37.75,-122.17,0.851
2.1731,,,,901.0,3.4653846153846155,37.75,-122.18,
1.9167,36.0,7.506666666666667,1.7533333333333334,482.0,3.2133333333333334,37.75,-122.19,
,43.0,,,652.0,,37.75,-122.18,0.846
1.712,36.0,6.307228915662651,,651.0,3.9216867469879517,,-122.18,0.821
2.5625,33.0,,1.0734265734265733,,,,-122.17,0.893
1.9821,,,1.0457516339869282,,2.9640522875816995,37.75,-122.17,0.983
,,5.465217391304348,1.1782608695652175,828.0,,37.75,-122.17,0.923
,44.0,,0.9763779527559056,763.0,3.0039370078740157,37.75,-122.17,
,48.0,5.017191977077364,,,2.679083094555874,,,0.9
2.5122,45.0,4.75,,1437.0,2.96900826446281,37.76,,
,38.0,5.097510373443983,1.2946058091286308,1516.0,3.145228215767635,37.75,,0.917
3.1587,,5.394594594594595,1.1405405405405404,,3.227027027027027,,,
