age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,__target__
,,43311.0,HS-grad,9.0,Divorced,,Unmarried,,,0.0,0.0,40.0,,0.0
,Local-gov,403681.0,,,,Prof-specialty,Husband,White,Male,0.0,,40.0,United-States,1.0
22.0,Private,248446.0,,3.0,Never-married,Priv-house-serv,,,,0.0,0.0,50.0,Guatemala,0.0
17.0,,269430.0,10th,,Never-married,Machine-op-inspct,,White,Male,0.0,0.0,40.0,United-States,0.0
20.0,Private,257509.0,HS-grad,9.0,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,40.0,United-States,
,Private,,,14.0,,Prof-specialty,Husband,,Male,0.0,0.0,,United-States,
44.0,Self-emp-inc,120277.0,Assoc-voc,11.0,Married-civ-spouse,Sales,Husband,White,,,0.0,,,1.0
36.0,Private,465326.0,HS-grad,,Married-civ-spouse,Farming-fishing,,White,Male,0.0,,,United-States,
,,103634.0,11th,7.0,,,Husband,White,Male,0.0,0.0,,United-States,0.0
20.0,State-gov,138371.0,Some-college,10.0,Never-married,Farming-fishing,Own-child,White,Male,0.0,0.0,,United-States,0.0
28.0,,242832.0,,,Married-civ-spouse,Prof-specialty,Wife,White,,,0.0,36.0,United-States,1.0
39.0,Private,290208.0,7th-8th,4.0,Married-civ-spouse,Craft-repair,,White,Male,0.0,0.0,40.0,Mexico,
54.0,Private,186272.0,,,Married-civ-spouse,Transport-moving,Husband,White,Male,3908.0,0.0,,United-States,0.0
52.0,Private,,11th,,,Priv-house-serv,Not-in-family,Black,Female,0.0,0.0,,,0.0
56.0,,131916.0,HS-grad,,Widowed,Exec-managerial,Not-in-family,,Female,0.0,0.0,,United-States,0.0
,Private,,,10.0,Never-married,Other-service,Own-child,,Male,,0.0,20.0,United-States,0.0
39.0,Private,280215.0,,9.0,,,,Black,Male,0.0,0.0,40.0,United-States,0.0
,Private,,Some-college,10.0,Never-married,Other-service,Own-child,White,,,1721.0,,United-States,
22.0,Private,54164.0,HS-grad,9.0,Never-married,Other-service,Not-in-family,White,Male,,0.0,,United-States,1.0
38.0,Private,,9th,,,,,White,Male,0.0,,,Mexico,
21.0,,110677.0,Some-college,10.0,,,Own-child,,Female,0.0,0.0,40.0,United-States,0.0
,Private,,HS-grad,9.0,,Craft-repair,Husband,,Male,0.0,,,,0.0
,,,,13.0,,Exec-managerial,Husband,White,,3103.0,0.0,,United-States,1.0
,Self-emp-inc,170721.0,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,,0.0,50.0,,
33.0,,,HS-grad,9.0,Married-civ-spouse,Handlers-cleaners,Husband,White,,,0.0,,United-States,0.0
,,101135.0,Bachelors,,Never-married,Exec-managerial,Not-in-family,White,,,0.0,,United-States,0.0
,Private,,Some-college,,Divorced,Sales,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0.0
,Private,31208.0,Masters,,Never-married,Exec-managerial,Not-in-family,,Female,,,40.0,United-States,
33.0,Private,281384.0,HS-grad,9.0,Never-married,Machine-op-inspct,Own-child,White,,0.0,0.0,40.0,,
47.0,,171807.0,HS-grad,9.0,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,
41.0,Self-emp-inc,,,12.0,Married-civ-spouse,Craft-repair,,,Male,15024.0,,,,1.0
19.0,,,Some-college,10.0,Never-married,Other-service,,,,0.0,0.0,20.0,United-States,0.0
46.0,,,HS-grad,9.0,,Transport-moving,Not-in-family,White,,,,40.0,United-States,0.0
,Private,102606.0,HS-grad,9.0,,Sales,,White,,,0.0,,United-States,0.0
,Private,323887.0,Some-college,10.0,Married-civ-spouse,,,,Male,15024.0,0.0,45.0,United-States,1.0
46.0,Private,,,11.0,Married-civ-spouse,Tech-support,,White,,,,,United-States,0.0
30.0,Private,229636.0,HS-grad,,Married-civ-spouse,Machine-op-inspct,Husband,White,,0.0,0.0,,Mexico,0.0
21.0,Private,388946.0,,10.0,Separated,Handlers-cleaners,,White,,,0.0,,,0.0
46.0,Private,269034.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,Other,Male,,0.0,40.0,,0.0
41.0,Private,75012.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,50.0,United-States,0.0
69.0,Self-emp-inc,174379.0,HS-grad,,,Sales,Husband,White,,0.0,,30.0,United-States,
50.0,,,,,Married-civ-spouse,Transport-moving,,White,Male,0.0,0.0,,United-States,0.0
20.0,Private,72055.0,,10.0,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0.0
,Self-emp-inc,67001.0,Some-college,10.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,,0.0,,,0.0
23.0,,213734.0,Bachelors,,,Exec-managerial,Not-in-family,White,,0.0,,40.0,United-States,
,Private,83141.0,Some-college,10.0,,,Not-in-family,,Male,0.0,,40.0,,0.0
31.0,Self-emp-not-inc,113752.0,Some-college,10.0,Married-civ-spouse,Craft-repair,,White,Male,0.0,0.0,50.0,,0.0
43.0,Private,170482.0,HS-grad,9.0,Separated,Machine-op-inspct,Not-in-family,White,Female,,0.0,,,0.0
,,,11th,7.0,,Other-service,Own-child,,,0.0,0.0,10.0,United-States,
55.0,Private,,HS-grad,9.0,Married-civ-spouse,Sales,Husband,,,0.0,,,,
24.0,Federal-gov,228724.0,,10.0,Never-married,Armed-Forces,Not-in-family,White,Male,,,40.0,,0.0
59.0,Private,292946.0,Bachelors,,,Exec-managerial,Not-in-family,,Female,0.0,0.0,25.0,United-States,
49.0,Federal-gov,77443.0,7th-8th,,,,Not-in-family,Black,,0.0,0.0,20.0,United-States,
,Private,,Masters,,,,Wife,,,5178.0,0.0,10.0,,1.0
,Federal-gov,,Bachelors,13.0,,,,White,,0.0,0.0,40.0,United-States,0.0
,Private,198751.0,Masters,14.0,Never-married,,Not-in-family,Amer-Indian-Eskimo,Male,0.0,0.0,40.0,United-States,
20.0,,,HS-grad,9.0,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,40.0,United-States,0.0
25.0,Private,235218.0,Bachelors,13.0,Never-married,,,White,Female,,0.0,40.0,,0.0
49.0,Private,164877.0,,6.0,Married-civ-spouse,Farming-fishing,Husband,,,0.0,0.0,,United-States,0.0
59.0,Private,,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,,,0.0,0.0,40.0,United-States,1.0
20.0,,169699.0,HS-grad,9.0,,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,
33.0,Private,,Some-college,10.0,,Adm-clerical,Unmarried,Black,,0.0,0.0,35.0,,0.0
22.0,,,,10.0,,Transport-moving,Own-child,Black,Male,,0.0,39.0,United-States,0.0
58.0,,301568.0,9th,5.0,,Other-service,Not-in-family,White,,0.0,0.0,,,0.0
,Local-gov,155233.0,HS-grad,9.0,Widowed,,Unmarried,White,,,0.0,,United-States,0.0
36.0,Private,75826.0,10th,,Separated,Machine-op-inspct,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0.0
41.0,,,HS-grad,9.0,Married-civ-spouse,Protective-serv,,,,0.0,,40.0,United-States,0.0
,,,,,Never-married,Transport-moving,Own-child,White,,2597.0,0.0,40.0,United-States,0.0
,,289227.0,Some-college,10.0,Never-married,Handlers-cleaners,,Black,Male,0.0,0.0,,United-States,
18.0,,,HS-grad,9.0,Never-married,Other-service,Not-in-family,White,Female,0.0,,28.0,,0.0
,Private,179020.0,HS-grad,9.0,,Machine-op-inspct,Own-child,White,Female,0.0,0.0,48.0,United-States,0.0
28.0,Private,149624.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,,Male,,,40.0,United-States,0.0
,,337266.0,,,,Exec-managerial,Husband,White,Male,,0.0,40.0,,
40.0,,103541.0,Some-college,,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,,40.0,,0.0
26.0,,206721.0,HS-grad,,,Handlers-cleaners,Unmarried,White,,0.0,0.0,40.0,United-States,0.0
46.0,Private,96773.0,HS-grad,9.0,Married-civ-spouse,,,White,Male,0.0,0.0,40.0,United-States,
,Private,200967.0,11th,7.0,Never-married,Other-service,Not-in-family,,Female,0.0,0.0,24.0,,
,,180019.0,HS-grad,9.0,Married-spouse-absent,,,White,,0.0,,40.0,United-States,
,Private,,Bachelors,13.0,,Sales,Unmarried,White,Female,,,40.0,United-States,
,Local-gov,198770.0,,13.0,Divorced,Prof-specialty,,,Female,0.0,0.0,60.0,United-States,0.0
18.0,Private,219256.0,,10.0,Never-married,,Own-child,,,0.0,,25.0,United-States,0.0
,,,,10.0,Never-married,,Own-child,White,,,0.0,30.0,,0.0
41.0,Private,,,10.0,Divorced,Tech-support,Not-in-family,,Female,0.0,0.0,40.0,United-States,0.0
41.0,Private,181020.0,,,,Handlers-cleaners,Unmarried,White,Female,0.0,0.0,,United-States,0.0
69.0,,183791.0,HS-grad,9.0,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,,25.0,United-States,
48.0,Federal-gov,42972.0,Doctorate,16.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,,,40.0,United-States,1.0
,Private,134813.0,,9.0,Never-married,,Own-child,,Male,0.0,0.0,,United-States,0.0
,,,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,,60.0,Ireland,1.0
41.0,,239296.0,Masters,14.0,Married-civ-spouse,,,,,,2415.0,,,1.0
41.0,Private,428420.0,Some-college,10.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,,0.0,,,
24.0,Private,247846.0,HS-grad,,Never-married,Craft-repair,,Black,Female,,0.0,,United-States,0.0
42.0,Self-emp-inc,,Doctorate,16.0,Married-civ-spouse,,Husband,White,,,0.0,41.0,,1.0
57.0,Private,244478.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,Black,Male,,0.0,48.0,United-States,0.0
30.0,Private,142921.0,,,,,Not-in-family,White,Female,,0.0,,United-States,
36.0,Private,182863.0,HS-grad,9.0,,Sales,Husband,White,Male,0.0,,,,
49.0,Private,171128.0,7th-8th,4.0,Married-civ-spouse,Machine-op-inspct,,Black,Male,0.0,0.0,40.0,United-States,0.0
33.0,,145402.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0.0,,,United-States,0.0
,Private,306309.0,,6.0,,Farming-fishing,,,,0.0,,40.0,,0.0
46.0,Private,,Masters,14.0,,,Husband,White,,,0.0,40.0,United-States,0.0
18.0,Private,262118.0,Some-college,,,Adm-clerical,Own-child,,Female,0.0,0.0,22.0,Germany,0.0
,Private,155972.0,,,,Exec-managerial,Husband,,Male,7688.0,,55.0,,1.0
43.0,,214503.0,HS-grad,9.0,Married-civ-spouse,Exec-managerial,,White,Male,0.0,1887.0,45.0,,1.0
,Private,159303.0,Masters,14.0,Never-married,Prof-specialty,Own-child,White,,,0.0,30.0,United-States,
47.0,Self-emp-not-inc,174995.0,,9.0,Widowed,,Not-in-family,White,,,0.0,30.0,,0.0
44.0,,26669.0,Assoc-voc,11.0,Widowed,Exec-managerial,Unmarried,White,,0.0,0.0,,,0.0
,,,HS-grad,9.0,Married-civ-spouse,,,White,Male,0.0,,,,1.0
55.0,Private,124771.0,Bachelors,13.0,,Exec-managerial,Husband,White,,15024.0,0.0,,United-States,1.0
,Private,456736.0,HS-grad,9.0,,Sales,Not-in-family,,Male,2907.0,,30.0,United-States,0.0
28.0,Private,216604.0,,,Never-married,,Not-in-family,,Male,0.0,0.0,14.0,,0.0
27.0,Private,,11th,7.0,Married-civ-spouse,Other-service,,Black,,0.0,,32.0,,0.0
,Private,114564.0,7th-8th,4.0,Married-civ-spouse,Machine-op-inspct,Husband,,Male,0.0,,20.0,,
22.0,,315476.0,11th,7.0,Never-married,Craft-repair,Unmarried,White,,0.0,0.0,,United-States,
40.0,,,,,,,,,Male,0.0,1887.0,45.0,,
,Private,126110.0,Some-college,10.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,40.0,United-States,0.0
26.0,,102264.0,HS-grad,,Never-married,,Not-in-family,White,Male,0.0,,,United-States,
22.0,,537222.0,Bachelors,13.0,,Sales,Not-in-family,White,Male,0.0,,25.0,,0.0
42.0,Private,113732.0,,10.0,Never-married,Handlers-cleaners,Unmarried,,Female,,625.0,40.0,,0.0
,Self-emp-inc,93225.0,,13.0,Divorced,,Not-in-family,,Male,,0.0,40.0,,0.0
55.0,Private,43064.0,,,Married-civ-spouse,Other-service,Husband,White,Male,,,30.0,United-States,0.0
32.0,Private,136921.0,,9.0,,Sales,,,Male,0.0,0.0,,United-States,0.0
22.0,,388885.0,HS-grad,9.0,,,Husband,,Male,,,45.0,United-States,0.0
29.0,Private,142249.0,Bachelors,13.0,Never-married,Sales,Own-child,,Male,0.0,0.0,40.0,,0.0
,State-gov,56841.0,Masters,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,,0.0,,United-States,1.0
31.0,,156493.0,Some-college,,,Exec-managerial,Husband,,,0.0,0.0,40.0,United-States,
,Self-emp-not-inc,,,16.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,16.0,United-States,1.0
42.0,,190910.0,,9.0,,,Husband,White,Male,,,45.0,,
18.0,,,HS-grad,9.0,Never-married,Handlers-cleaners,Unmarried,,Male,0.0,0.0,25.0,United-States,
,,137249.0,,9.0,,Exec-managerial,Not-in-family,,,,0.0,,United-States,0.0
54.0,Private,236157.0,HS-grad,,Married-civ-spouse,,Husband,White,Male,0.0,,40.0,United-States,1.0
34.0,Private,189759.0,,14.0,,Prof-specialty,Not-in-family,,Male,0.0,,,,
26.0,Private,,Bachelors,,Never-married,Adm-clerical,Not-in-family,,Female,0.0,,,,0.0
61.0,Private,21175.0,12th,8.0,,Exec-managerial,,White,Male,0.0,0.0,60.0,United-States,0.0
,,67229.0,,14.0,,,Unmarried,,Female,0.0,,40.0,United-States,0.0
36.0,Private,236391.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,,,United-States,1.0
24.0,,325596.0,Assoc-voc,11.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,,,0.0
40.0,Private,,Some-college,,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,37.0,United-States,0.0
,,,HS-grad,9.0,Married-civ-spouse,,,White,Male,0.0,0.0,50.0,,1.0
37.0,Private,,Some-college,10.0,Married-civ-spouse,Machine-op-inspct,,White,Male,,1887.0,40.0,United-States,
,Private,198613.0,Masters,14.0,Never-married,Exec-managerial,,,,4650.0,,,United-States,
,Self-emp-inc,321529.0,Some-college,10.0,,Exec-managerial,Husband,White,Male,15024.0,0.0,40.0,,1.0
37.0,Private,203079.0,,13.0,Widowed,Exec-managerial,Not-in-family,,Female,0.0,0.0,,United-States,
44.0,Private,284652.0,HS-grad,,Divorced,,,Black,,0.0,0.0,40.0,United-States,0.0
54.0,,,HS-grad,9.0,,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,45.0,,0.0
,Private,,,,Never-married,Machine-op-inspct,,White,Male,0.0,0.0,50.0,,
22.0,,199266.0,HS-grad,9.0,Never-married,Other-service,Not-in-family,White,,,0.0,,United-States,0.0
33.0,Private,196385.0,Bachelors,,Married-civ-spouse,,Husband,White,Male,0.0,1977.0,,United-States,1.0
39.0,Private,163205.0,,,,Prof-specialty,Not-in-family,White,Male,0.0,0.0,,United-States,
47.0,Private,411047.0,Some-college,,Divorced,Adm-clerical,Not-in-family,Black,Female,0.0,0.0,37.0,United-States,0.0
26.0,Private,209440.0,,,Never-married,Prof-specialty,Unmarried,,Female,0.0,0.0,,United-States,0.0
31.0,Private,56964.0,Some-college,10.0,Divorced,Exec-managerial,Unmarried,White,Female,0.0,0.0,,United-States,
44.0,,299197.0,,10.0,Never-married,Transport-moving,Not-in-family,White,Male,,0.0,,United-States,0.0
42.0,Self-emp-inc,240628.0,Prof-school,15.0,Married-civ-spouse,Prof-specialty,,,Female,0.0,,,,1.0
,Private,355313.0,,9.0,Never-married,Machine-op-inspct,Not-in-family,White,,0.0,0.0,,United-States,0.0
,,132267.0,HS-grad,,Married-civ-spouse,,Husband,White,Male,,0.0,,United-States,1.0
51.0,,,Some-college,,,Protective-serv,Husband,,Male,0.0,0.0,40.0,United-States,1.0
28.0,Self-emp-inc,,Bachelors,,Married-civ-spouse,Exec-managerial,Husband,White,Male,,0.0,50.0,,0.0
57.0,Private,26716.0,,,,,Not-in-family,White,,0.0,0.0,45.0,United-States,0.0
45.0,,185588.0,Bachelors,13.0,Divorced,Prof-specialty,Unmarried,White,Female,0.0,0.0,,United-States,
,Private,175029.0,,,,Prof-specialty,Husband,,,0.0,,40.0,United-States,1.0
,Self-emp-inc,,Bachelors,13.0,Married-civ-spouse,Sales,,White,Male,,0.0,54.0,United-States,0.0
45.0,Private,,7th-8th,,Married-civ-spouse,Craft-repair,Husband,,,0.0,,,United-States,0.0
73.0,Local-gov,143437.0,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,20.0,,0.0
,Private,357145.0,Bachelors,,Married-civ-spouse,Prof-specialty,,,,,,50.0,United-States,
,,236861.0,Some-college,10.0,,,Husband,,,,0.0,55.0,United-States,1.0
,Private,,11th,7.0,Never-married,Sales,,White,Male,0.0,0.0,,United-States,0.0
25.0,,29106.0,Some-college,10.0,,,Own-child,,Female,0.0,,,United-States,
38.0,Federal-gov,213274.0,Assoc-voc,11.0,Divorced,,Unmarried,White,Female,6497.0,0.0,,,
39.0,,22463.0,,,Married-civ-spouse,Transport-moving,Husband,White,Male,,0.0,,United-States,0.0
23.0,,,,13.0,Never-married,Tech-support,,Black,,0.0,0.0,,United-States,
49.0,Private,,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,,,United-States,
,,137814.0,,9.0,Never-married,Other-service,Not-in-family,White,Male,0.0,0.0,,United-States,
21.0,Private,,5th-6th,,Never-married,Machine-op-inspct,,,Male,,0.0,38.0,Mexico,
31.0,Private,,Assoc-voc,,Separated,Craft-repair,Not-in-family,White,Male,,,40.0,United-States,0.0
23.0,,,,13.0,Never-married,Exec-managerial,,,Female,0.0,0.0,45.0,United-States,0.0
34.0,Private,162312.0,Bachelors,,Married-civ-spouse,,Husband,Asian-Pac-Islander,Male,0.0,0.0,,,
25.0,Private,,HS-grad,9.0,Never-married,Machine-op-inspct,,Asian-Pac-Islander,Female,,0.0,40.0,Philippines,0.0
39.0,Private,282951.0,HS-grad,,,,Unmarried,White,Male,0.0,,40.0,United-States,0.0
52.0,Self-emp-inc,311259.0,HS-grad,9.0,,,Husband,,,0.0,,40.0,United-States,1.0
63.0,Local-gov,65479.0,,5.0,Married-civ-spouse,,Husband,White,Male,7688.0,,40.0,,
,Private,277256.0,Some-college,,,Craft-repair,,White,Male,0.0,0.0,,,0.0
46.0,Private,,Bachelors,13.0,Married-civ-spouse,,Husband,,Male,15024.0,0.0,38.0,United-States,
,Local-gov,169719.0,,,Married-civ-spouse,,,White,Male,0.0,0.0,,United-States,0.0
18.0,,,,8.0,Never-married,Priv-house-serv,Own-child,White,Male,,0.0,40.0,,0.0
38.0,,237943.0,,,,Prof-specialty,Husband,,,,,50.0,United-States,0.0
55.0,Private,,,14.0,Never-married,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0.0,,,,
34.0,Private,236861.0,HS-grad,,Married-civ-spouse,Tech-support,,,Male,,0.0,40.0,United-States,
80.0,Self-emp-not-inc,,HS-grad,9.0,Married-civ-spouse,,Husband,,,,0.0,,United-States,0.0
34.0,Private,147215.0,,,Divorced,Tech-support,Unmarried,White,Female,0.0,0.0,,United-States,
52.0,,152373.0,Some-college,,,Tech-support,,White,Male,,,40.0,United-States,
42.0,Private,227968.0,HS-grad,9.0,Never-married,Other-service,Unmarried,Black,,0.0,,,,
26.0,Private,362617.0,,10.0,Never-married,Sales,Not-in-family,White,Female,0.0,0.0,40.0,United-States,
31.0,Private,,HS-grad,9.0,,,,White,,0.0,0.0,40.0,United-States,
,Local-gov,,,9.0,,Other-service,Own-child,White,Female,0.0,0.0,35.0,United-States,
55.0,,,,9.0,Married-civ-spouse,Craft-repair,Husband,,Male,0.0,2057.0,,,0.0
19.0,Private,230165.0,Some-college,10.0,,,,White,Female,0.0,0.0,12.0,United-States,0.0
62.0,Self-emp-not-inc,177493.0,Some-college,10.0,Married-civ-spouse,Transport-moving,Husband,,Male,0.0,,32.0,,0.0
22.0,,104443.0,Some-college,10.0,,Adm-clerical,Own-child,White,,0.0,0.0,20.0,United-States,
,Private,143385.0,,9.0,Married-civ-spouse,,,White,Male,,0.0,40.0,United-States,0.0
28.0,Private,,HS-grad,,Married-civ-spouse,,Own-child,,,,0.0,40.0,,0.0
47.0,Private,212944.0,HS-grad,,Married-civ-spouse,,Husband,White,Male,0.0,0.0,70.0,,
44.0,State-gov,138634.0,,9.0,,,,White,Male,0.0,0.0,40.0,United-States,0.0
21.0,Private,,,10.0,Never-married,Sales,Own-child,,Male,0.0,0.0,,,0.0
35.0,Private,203717.0,Assoc-voc,11.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,50.0,United-States,0.0
24.0,Private,313956.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,,Male,0.0,,40.0,United-States,
28.0,Private,193868.0,Bachelors,13.0,Never-married,Tech-support,,White,Male,0.0,0.0,50.0,United-States,
21.0,Private,250939.0,Some-college,10.0,Never-married,Machine-op-inspct,,White,Male,0.0,0.0,,United-States,0.0
62.0,,,Some-college,10.0,,,Not-in-family,,Male,4650.0,,40.0,,0.0
39.0,Private,281768.0,,9.0,Never-married,Other-service,Not-in-family,,Female,0.0,0.0,40.0,United-States,
30.0,State-gov,260782.0,HS-grad,9.0,Never-married,Other-service,Not-in-family,,Male,0.0,0.0,40.0,United-States,0.0
72.0,,243769.0,Prof-school,15.0,Never-married,Prof-specialty,,White,,0.0,1429.0,20.0,United-States,0.0
50.0,Private,109937.0,Some-college,,Married-civ-spouse,Exec-managerial,Wife,,,0.0,0.0,50.0,United-States,0.0
,,134890.0,,14.0,,,,,,0.0,0.0,40.0,United-States,0.0
29.0,Private,,Some-college,10.0,Never-married,,Not-in-family,White,Female,0.0,0.0,40.0,United-States,
,Private,132179.0,Bachelors,13.0,,Adm-clerical,,White,Female,,,40.0,,
27.0,Private,116372.0,,14.0,,,Not-in-family,,Female,,,40.0,United-States,
,Private,255412.0,Some-college,,Married-civ-spouse,,,White,Male,3103.0,0.0,,United-States,1.0
29.0,Private,342400.0,,,Married-civ-spouse,,Husband,White,,,0.0,25.0,United-States,0.0
,Private,,11th,7.0,Married-civ-spouse,,,,Female,0.0,,20.0,United-States,
,Private,177221.0,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,75.0,United-States,0.0
58.0,Private,65325.0,10th,6.0,Married-civ-spouse,Transport-moving,,White,Male,0.0,0.0,40.0,United-States,
64.0,,118944.0,Some-college,10.0,,,Wife,White,,0.0,,40.0,United-States,
,State-gov,149337.0,Masters,14.0,Never-married,,,White,,0.0,0.0,,,
19.0,Private,106183.0,HS-grad,9.0,Never-married,Other-service,Own-child,Amer-Indian-Eskimo,Female,0.0,0.0,,United-States,0.0
,Private,226388.0,,9.0,Divorced,Other-service,,Black,Male,,0.0,,,0.0
18.0,Private,220754.0,11th,,,,Own-child,,,,0.0,24.0,United-States,0.0
58.0,,204021.0,,13.0,Married-civ-spouse,Craft-repair,,White,Male,15024.0,0.0,50.0,,1.0
20.0,,347391.0,Some-college,10.0,Never-married,Protective-serv,Not-in-family,Black,,0.0,0.0,,United-States,
35.0,Federal-gov,413930.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,,,0.0,,40.0,United-States,1.0
,Private,174201.0,HS-grad,,Married-civ-spouse,,Husband,White,Male,0.0,0.0,,United-States,1.0
23.0,,,,9.0,Never-married,,Not-in-family,,Female,0.0,0.0,25.0,United-States,0.0
,Private,241797.0,Some-college,,,Tech-support,Unmarried,White,Female,0.0,0.0,40.0,,
,Private,265168.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,Black,Male,0.0,0.0,55.0,United-States,0.0
41.0,Private,171234.0,Some-college,10.0,,Machine-op-inspct,Not-in-family,White,,0.0,0.0,48.0,,0.0
22.0,Private,178452.0,,9.0,,Machine-op-inspct,Own-child,Black,,,,,United-States,
46.0,,,Some-college,,Married-civ-spouse,Protective-serv,Husband,White,,0.0,0.0,40.0,,1.0
61.0,,512864.0,,10.0,,Transport-moving,,Black,,0.0,,40.0,,
