age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,__target__
55.0,Private,160631.0,HS-grad,9.0,Married-civ-spouse,Sales,,,Male,0.0,,,United-States,1.0
,Federal-gov,228724.0,Some-college,10.0,,Armed-Forces,,White,Male,,0.0,,United-States,
59.0,Private,292946.0,Bachelors,13.0,Never-married,Exec-managerial,,,,0.0,0.0,25.0,United-States,
49.0,Federal-gov,77443.0,7th-8th,,,Other-service,Not-in-family,,Male,0.0,0.0,20.0,United-States,0.0
33.0,,176410.0,Masters,14.0,Married-civ-spouse,Prof-specialty,,,,5178.0,0.0,10.0,United-States,1.0
59.0,,98984.0,,,,,Not-in-family,,Male,,0.0,40.0,United-States,0.0
34.0,,198751.0,Masters,14.0,Never-married,Other-service,Not-in-family,Amer-Indian-Eskimo,,0.0,,40.0,,0.0
20.0,,479296.0,HS-grad,9.0,Never-married,Handlers-cleaners,,White,Male,0.0,,40.0,United-States,0.0
25.0,,,Bachelors,,,Exec-managerial,Own-child,White,Female,0.0,0.0,40.0,United-States,
,Private,164877.0,,6.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,,0.0,40.0,,
,,,,,Married-civ-spouse,,,,Male,,,40.0,United-States,1.0
20.0,Private,169699.0,HS-grad,9.0,,,Not-in-family,White,,,0.0,40.0,United-States,
33.0,,,Some-college,10.0,,Adm-clerical,Unmarried,Black,Female,0.0,0.0,,,0.0
22.0,Private,212261.0,,10.0,Never-married,Transport-moving,,Black,Male,0.0,0.0,,United-States,
,Self-emp-not-inc,301568.0,9th,5.0,Widowed,Other-service,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0.0
52.0,,155233.0,HS-grad,9.0,Widowed,,Unmarried,White,Female,,0.0,28.0,,0.0
36.0,Private,75826.0,10th,,Separated,Machine-op-inspct,Not-in-family,White,Female,0.0,,40.0,United-States,0.0
41.0,Local-gov,201520.0,HS-grad,9.0,Married-civ-spouse,,Husband,,,0.0,0.0,,United-States,
28.0,,,HS-grad,9.0,,,Own-child,White,Male,2597.0,,40.0,,0.0
19.0,Private,,,,,Handlers-cleaners,Own-child,,,0.0,0.0,16.0,United-States,0.0
,Private,,HS-grad,9.0,Never-married,Other-service,,White,Female,0.0,0.0,28.0,,0.0
18.0,Private,,HS-grad,9.0,Never-married,Machine-op-inspct,,White,,0.0,0.0,48.0,United-States,0.0
,Private,,,,Married-civ-spouse,Craft-repair,,White,Male,0.0,0.0,40.0,United-States,0.0
29.0,Private,337266.0,Assoc-voc,11.0,Married-civ-spouse,Exec-managerial,,,Male,0.0,,,United-States,
40.0,,103541.0,Some-college,,Married-civ-spouse,Handlers-cleaners,Husband,,Male,,,40.0,,0.0
,Private,206721.0,,9.0,Never-married,Handlers-cleaners,Unmarried,,Male,,0.0,,,0.0
46.0,Private,,,,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,0.0
23.0,,200967.0,11th,,,Other-service,Not-in-family,White,Female,0.0,0.0,,,
44.0,Private,180019.0,HS-grad,9.0,Married-spouse-absent,Adm-clerical,Unmarried,White,,0.0,0.0,40.0,United-States,0.0
43.0,Private,,Bachelors,13.0,Divorced,Sales,Unmarried,White,Female,,,40.0,United-States,1.0
,,198770.0,,13.0,,Prof-specialty,,White,Female,0.0,,60.0,United-States,
,,219256.0,,,Never-married,,,White,,,0.0,25.0,United-States,0.0
19.0,Private,,Some-college,,Never-married,,Own-child,White,Male,0.0,0.0,,United-States,0.0
,Private,110732.0,Some-college,10.0,Divorced,Tech-support,Not-in-family,,Female,0.0,,40.0,,0.0
41.0,Private,181020.0,,9.0,,,Unmarried,White,Female,0.0,,,United-States,0.0
69.0,Private,183791.0,HS-grad,,Divorced,,,White,Female,0.0,,25.0,,0.0
48.0,Federal-gov,42972.0,,16.0,Married-civ-spouse,Prof-specialty,,White,Female,0.0,0.0,40.0,United-States,1.0
28.0,,134813.0,,9.0,Never-married,,Own-child,White,Male,0.0,,40.0,United-States,
,Self-emp-not-inc,115438.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,,,Male,0.0,0.0,60.0,Ireland,1.0
,Private,239296.0,,,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2415.0,50.0,,1.0
41.0,Private,,,10.0,Married-civ-spouse,,Husband,White,Male,0.0,0.0,,United-States,0.0
24.0,,247846.0,,9.0,,Craft-repair,,Black,,,0.0,,,0.0
,Self-emp-inc,,Doctorate,16.0,,,Husband,,Male,0.0,,41.0,,1.0
,Private,244478.0,,9.0,Married-civ-spouse,,Husband,,Male,,0.0,48.0,United-States,0.0
30.0,,,Assoc-acdm,,,Prof-specialty,,White,,0.0,0.0,,United-States,0.0
36.0,,,HS-grad,,Married-civ-spouse,,Husband,White,Male,0.0,0.0,60.0,United-States,
49.0,Private,,,,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,,,40.0,United-States,0.0
,Private,,HS-grad,9.0,,Machine-op-inspct,Wife,White,,0.0,0.0,35.0,United-States,0.0
23.0,,306309.0,10th,,,,Husband,,Male,,,,,0.0
,Private,83822.0,Masters,14.0,,Prof-specialty,Husband,White,Male,,,40.0,,0.0
,Private,,Some-college,10.0,,,,Asian-Pac-Islander,Female,,0.0,22.0,Germany,0.0
,Private,155972.0,HS-grad,,Married-civ-spouse,,Husband,White,Male,,,55.0,United-States,1.0
,Self-emp-inc,,HS-grad,9.0,Married-civ-spouse,,Husband,,,0.0,1887.0,,,
34.0,,159303.0,,14.0,Never-married,Prof-specialty,Own-child,,Female,0.0,0.0,,,0.0
47.0,Self-emp-not-inc,174995.0,HS-grad,9.0,Widowed,,Not-in-family,,Female,0.0,,30.0,,0.0
,Private,26669.0,,11.0,Widowed,,Unmarried,,,0.0,0.0,30.0,United-States,
33.0,,177727.0,HS-grad,,Married-civ-spouse,Sales,Husband,,Male,0.0,0.0,,United-States,
55.0,Private,124771.0,,13.0,Married-civ-spouse,,,,Male,15024.0,,50.0,United-States,1.0
,Private,,HS-grad,9.0,,,Not-in-family,,Male,,0.0,30.0,United-States,0.0
28.0,,216604.0,Some-college,10.0,,Other-service,,Black,Male,0.0,,14.0,,0.0
27.0,Private,221561.0,11th,7.0,Married-civ-spouse,,Wife,,Female,0.0,0.0,,United-States,
50.0,Private,,7th-8th,4.0,Married-civ-spouse,,,White,,,0.0,,United-States,
,Private,315476.0,,,Never-married,Craft-repair,Unmarried,,Male,0.0,0.0,40.0,United-States,
40.0,State-gov,67874.0,,13.0,,Adm-clerical,Husband,White,,0.0,,,United-States,1.0
,Private,126110.0,,10.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,40.0,United-States,0.0
,,102264.0,HS-grad,,Never-married,,,White,Male,0.0,0.0,40.0,United-States,
22.0,,537222.0,Bachelors,,,,,White,Male,0.0,0.0,,United-States,0.0
42.0,Private,113732.0,Some-college,10.0,,Handlers-cleaners,Unmarried,Black,,0.0,625.0,40.0,,0.0
38.0,Self-emp-inc,93225.0,Bachelors,,Divorced,Exec-managerial,,White,Male,,0.0,40.0,United-States,0.0
55.0,Private,43064.0,,7.0,Married-civ-spouse,Other-service,Husband,,Male,0.0,0.0,,,
32.0,,136921.0,HS-grad,9.0,Married-civ-spouse,,Husband,,Male,0.0,0.0,40.0,United-States,0.0
22.0,Private,388885.0,,9.0,,Craft-repair,Husband,White,,0.0,0.0,45.0,United-States,0.0
,,142249.0,,13.0,Never-married,,Own-child,White,,0.0,0.0,,United-States,0.0
46.0,State-gov,,Masters,14.0,,Exec-managerial,,White,,0.0,0.0,,United-States,
31.0,Private,156493.0,Some-college,10.0,Married-civ-spouse,,Husband,White,Male,0.0,0.0,40.0,,1.0
,Self-emp-not-inc,159021.0,Doctorate,16.0,Married-civ-spouse,Prof-specialty,,,Male,0.0,0.0,16.0,United-States,1.0
,Private,190910.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,,,0.0,,,United-States,0.0
18.0,,41879.0,HS-grad,9.0,,Handlers-cleaners,,White,,0.0,0.0,25.0,,0.0
58.0,,,HS-grad,,,Exec-managerial,Not-in-family,White,Male,,0.0,,United-States,
54.0,Private,236157.0,HS-grad,9.0,Married-civ-spouse,Prof-specialty,Husband,White,,0.0,1887.0,,United-States,1.0
,Private,,Masters,,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,40.0,,0.0
26.0,Private,239877.0,,,Never-married,Adm-clerical,Not-in-family,White,Female,,0.0,,United-States,0.0
61.0,,21175.0,12th,,Married-civ-spouse,Exec-managerial,Husband,White,,,,,United-States,0.0
48.0,Local-gov,67229.0,,14.0,Separated,Adm-clerical,Unmarried,Black,,0.0,0.0,40.0,United-States,
36.0,Private,236391.0,Some-college,10.0,,Exec-managerial,Husband,,Male,,,45.0,United-States,1.0
24.0,,325596.0,Assoc-voc,11.0,Married-civ-spouse,Machine-op-inspct,Husband,White,,0.0,0.0,45.0,United-States,0.0
40.0,Private,83411.0,Some-college,10.0,,Machine-op-inspct,Husband,,,0.0,,37.0,United-States,0.0
33.0,Self-emp-inc,154227.0,HS-grad,9.0,Married-civ-spouse,,,,,,0.0,50.0,United-States,1.0
,,248010.0,Some-college,,Married-civ-spouse,Machine-op-inspct,Husband,White,,0.0,,40.0,United-States,1.0
,,198613.0,,,,,Own-child,White,Male,4650.0,,,United-States,0.0
56.0,Self-emp-inc,321529.0,Some-college,10.0,Married-civ-spouse,,,White,,15024.0,,40.0,United-States,
,Private,203079.0,Bachelors,13.0,,Exec-managerial,,,Female,,0.0,55.0,United-States,
44.0,,,HS-grad,9.0,Divorced,,Unmarried,Black,Female,0.0,0.0,,United-States,0.0
,Private,,HS-grad,9.0,Divorced,,Not-in-family,White,Male,0.0,0.0,45.0,,0.0
23.0,,52753.0,HS-grad,,Never-married,Machine-op-inspct,Not-in-family,White,Male,0.0,,50.0,,0.0
22.0,,199266.0,HS-grad,9.0,Never-married,Other-service,,White,Female,0.0,0.0,45.0,United-States,0.0
33.0,Private,196385.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,,White,Male,,1977.0,40.0,United-States,1.0
39.0,Private,,Bachelors,,Separated,Prof-specialty,,White,Male,0.0,0.0,50.0,United-States,1.0
47.0,,411047.0,Some-college,,,,Not-in-family,Black,,0.0,,37.0,United-States,0.0
26.0,Private,209440.0,HS-grad,,Never-married,Prof-specialty,,Black,Female,0.0,0.0,55.0,,0.0
31.0,,56964.0,,10.0,Divorced,Exec-managerial,Unmarried,White,,0.0,,40.0,United-States,
,,,Some-college,10.0,,Transport-moving,,,Male,,0.0,,United-States,0.0
,,,Prof-school,15.0,Married-civ-spouse,,Wife,,Female,,,50.0,,1.0
19.0,Private,355313.0,HS-grad,9.0,Never-married,Machine-op-inspct,Not-in-family,White,Female,0.0,0.0,,,0.0
,Private,132267.0,HS-grad,,,Handlers-cleaners,Husband,,Male,0.0,0.0,40.0,United-States,1.0
,,174861.0,Some-college,10.0,Married-civ-spouse,,Husband,White,,0.0,0.0,,United-States,
28.0,,142443.0,Bachelors,,Married-civ-spouse,Exec-managerial,Husband,,Male,,0.0,50.0,United-States,0.0
57.0,Private,,,,Divorced,,,,Male,0.0,0.0,45.0,United-States,0.0
45.0,Local-gov,,Bachelors,,,Prof-specialty,Unmarried,White,Female,0.0,,40.0,United-States,0.0
,Private,175029.0,Assoc-voc,11.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,,40.0,,1.0
34.0,Self-emp-inc,34848.0,,13.0,Married-civ-spouse,Sales,Husband,White,,0.0,0.0,54.0,,0.0
,Private,411273.0,7th-8th,4.0,Married-civ-spouse,Craft-repair,Husband,Black,Male,0.0,0.0,40.0,United-States,0.0
73.0,Local-gov,143437.0,HS-grad,9.0,,Exec-managerial,Husband,White,,0.0,0.0,,United-States,0.0
34.0,Private,357145.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,,0.0,,United-States,1.0
31.0,,236861.0,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,,,0.0,55.0,United-States,1.0
19.0,Private,,11th,7.0,,Sales,Not-in-family,White,Male,0.0,0.0,12.0,United-States,0.0
,Private,29106.0,Some-college,10.0,,,Own-child,White,Female,0.0,,50.0,United-States,0.0
38.0,Federal-gov,,Assoc-voc,,Divorced,Craft-repair,Unmarried,White,,6497.0,0.0,40.0,,0.0
,Private,22463.0,Bachelors,13.0,Married-civ-spouse,Transport-moving,,White,,,0.0,,,0.0
23.0,,180497.0,Bachelors,13.0,Never-married,Tech-support,Own-child,,Female,0.0,,32.0,,0.0
49.0,,37306.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,,White,Male,,0.0,40.0,,
33.0,,,HS-grad,9.0,Never-married,,Not-in-family,White,Male,,0.0,,,0.0
,Private,,5th-6th,,Never-married,Machine-op-inspct,,,Male,0.0,0.0,38.0,Mexico,0.0
,Private,220915.0,,11.0,Separated,Craft-repair,Not-in-family,White,,0.0,,,United-States,0.0
23.0,,42251.0,,,Never-married,Exec-managerial,Not-in-family,,Female,,0.0,,United-States,
34.0,Private,162312.0,Bachelors,13.0,Married-civ-spouse,,Husband,Asian-Pac-Islander,,0.0,0.0,40.0,Philippines,0.0
25.0,,77698.0,HS-grad,9.0,Never-married,,Not-in-family,,,0.0,,40.0,,0.0
39.0,Private,282951.0,,,Never-married,Craft-repair,Unmarried,White,Male,,0.0,40.0,,0.0
52.0,,311259.0,HS-grad,9.0,Married-civ-spouse,Sales,Husband,,Male,,,40.0,,
63.0,Local-gov,65479.0,,5.0,Married-civ-spouse,,,,Male,7688.0,0.0,40.0,United-States,1.0
41.0,Private,,Some-college,10.0,,Craft-repair,,,,0.0,0.0,40.0,United-States,0.0
46.0,,312088.0,Bachelors,13.0,,Prof-specialty,,White,Male,15024.0,0.0,38.0,,1.0
53.0,Local-gov,169719.0,HS-grad,,,,Husband,,Male,0.0,,40.0,,0.0
18.0,Private,96869.0,,8.0,Never-married,Priv-house-serv,,White,,0.0,,,United-States,0.0
38.0,Private,237943.0,Prof-school,15.0,Married-civ-spouse,,Husband,White,Male,0.0,0.0,50.0,,0.0
55.0,,,Masters,14.0,Never-married,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0.0,,50.0,Thailand,0.0
,Private,,HS-grad,9.0,Married-civ-spouse,Tech-support,Husband,,Male,,0.0,40.0,United-States,1.0
80.0,Self-emp-not-inc,201092.0,HS-grad,9.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,,30.0,,0.0
34.0,Private,,,11.0,,Tech-support,Unmarried,White,Female,0.0,0.0,60.0,,0.0
,Private,152373.0,Some-college,10.0,Married-civ-spouse,Tech-support,Husband,,Male,5013.0,,40.0,,0.0
,Private,227968.0,HS-grad,,Never-married,,,Black,Female,0.0,0.0,,Haiti,0.0
26.0,Private,362617.0,Some-college,10.0,Never-married,,Not-in-family,White,Female,0.0,,40.0,United-States,0.0
31.0,Private,,HS-grad,,Married-civ-spouse,Transport-moving,Husband,White,,0.0,0.0,,United-States,0.0
25.0,Local-gov,281412.0,HS-grad,,,Other-service,,White,,,0.0,,United-States,0.0
55.0,Self-emp-not-inc,,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,2057.0,60.0,United-States,0.0
19.0,,230165.0,,,,Other-service,Own-child,White,,0.0,0.0,12.0,,0.0
,,177493.0,Some-college,,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,,,0.0
22.0,Federal-gov,,Some-college,10.0,Never-married,,,White,Female,,,20.0,,
35.0,Private,,HS-grad,9.0,,Handlers-cleaners,,White,Male,0.0,,40.0,United-States,0.0
28.0,Private,,,,Married-civ-spouse,Sales,,White,Female,0.0,0.0,,United-States,0.0
47.0,Private,,,9.0,Married-civ-spouse,,,White,Male,0.0,0.0,70.0,United-States,1.0
44.0,State-gov,,,9.0,,Machine-op-inspct,Husband,,Male,,,40.0,United-States,0.0
,Private,99970.0,Some-college,10.0,Never-married,,,,Male,0.0,0.0,15.0,United-States,
35.0,Private,203717.0,Assoc-voc,11.0,,Craft-repair,Not-in-family,,Male,0.0,0.0,,,0.0
,Private,313956.0,,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,,40.0,United-States,1.0
28.0,Private,193868.0,Bachelors,,Never-married,Tech-support,,White,,0.0,,50.0,United-States,0.0
21.0,,250939.0,Some-college,,Never-married,Machine-op-inspct,Other-relative,White,Male,0.0,0.0,35.0,United-States,0.0
62.0,Federal-gov,57629.0,,10.0,Divorced,,Not-in-family,Black,Male,,,40.0,,0.0
39.0,,,HS-grad,,,,Not-in-family,Black,Female,0.0,0.0,40.0,United-States,0.0
30.0,State-gov,260782.0,HS-grad,9.0,Never-married,Other-service,,,Male,0.0,0.0,,,0.0
72.0,Self-emp-not-inc,,Prof-school,15.0,Never-married,Prof-specialty,,White,Male,0.0,1429.0,20.0,United-States,0.0
,Private,109937.0,,,Married-civ-spouse,Exec-managerial,,White,Female,0.0,0.0,50.0,United-States,
,,134890.0,,,Never-married,,,,,,0.0,,United-States,0.0
29.0,Private,100293.0,,10.0,Never-married,,Not-in-family,,Female,0.0,,40.0,,0.0
26.0,,132179.0,,13.0,Never-married,,Own-child,,,0.0,,40.0,United-States,0.0
,Private,,Masters,,,Exec-managerial,Not-in-family,White,,0.0,0.0,40.0,United-States,0.0
,Private,255412.0,Some-college,10.0,Married-civ-spouse,Handlers-cleaners,,,,3103.0,,40.0,,
29.0,,,10th,6.0,,,,White,Male,0.0,0.0,25.0,United-States,0.0
,,169085.0,11th,7.0,Married-civ-spouse,,,White,Female,0.0,0.0,20.0,United-States,0.0
,,177221.0,HS-grad,,Married-civ-spouse,Exec-managerial,Husband,White,,0.0,0.0,75.0,United-States,
58.0,Private,65325.0,,,Married-civ-spouse,Transport-moving,,White,Male,0.0,0.0,40.0,United-States,
,Private,118944.0,,10.0,Married-civ-spouse,Exec-managerial,,,,,0.0,40.0,,1.0
46.0,State-gov,149337.0,,,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,38.0,United-States,
19.0,Private,106183.0,,9.0,,Other-service,Own-child,,Female,0.0,,35.0,United-States,0.0
42.0,Private,,HS-grad,9.0,Divorced,,,Black,Male,,,52.0,United-States,0.0
18.0,Private,,11th,7.0,Never-married,Handlers-cleaners,Own-child,White,Male,,0.0,24.0,United-States,0.0
58.0,,,Bachelors,,Married-civ-spouse,,Husband,White,Male,,0.0,50.0,United-States,
20.0,Private,347391.0,Some-college,10.0,Never-married,Protective-serv,Not-in-family,Black,Male,,0.0,60.0,United-States,
,Federal-gov,413930.0,HS-grad,,Married-civ-spouse,,,,Male,0.0,0.0,40.0,,1.0
,Private,174201.0,HS-grad,,Married-civ-spouse,Handlers-cleaners,Husband,White,,0.0,,,United-States,1.0
,Private,145917.0,HS-grad,,Never-married,Handlers-cleaners,Not-in-family,White,Female,0.0,0.0,,United-States,0.0
31.0,,,Some-college,10.0,,,,White,Female,,,40.0,United-States,
33.0,,265168.0,,13.0,Married-civ-spouse,Sales,Husband,,Male,0.0,,55.0,United-States,
,Private,,Some-college,,Never-married,,,White,Female,,,48.0,United-States,
22.0,,178452.0,HS-grad,9.0,Never-married,Machine-op-inspct,Own-child,Black,Male,0.0,0.0,40.0,United-States,0.0
